seqFluxo,seqEtapa,codEtapa,etapa,codFormulario,formulario,dataCriacao,dataExeInicio,dataExeFim,codExecutor,executor,status,origem,tempoTotal,tempoInicioFim,tempoParaIniciar,sequencia,grupoEtapa,codBeneficiario,beneficiario,codFormularioCampo,nomeCampo,legenda,ordemFilho,codFormularioCampoFilho,codCampo,valor,valorDominio,nomeCampoFilho,legendaCampoFilho,codCampoFilho,fluxo,statusFluxo,servico
503040,1502352,20390,REVISÃO,14579,FOR_ALVARA_BD_CADASTRO,2024-07-24 10:39:36,2025-05-26 09:31:30,2025-05-27 14:47:12,52199,ANA PAULA COSTA OLIVEIRA,2,0.0,60,16,5,4,2,,,327026,UORG_ENTIDADE_SUB,Descrição do campo UORG_ENTIDADE_SUB,0.0,,2,Presencial,,,,,FLX_CADASTRO_DE_CARTA_DE_SERVIÇO,2,CADASTRO DE CARTA DE SERVIÇO
504067,1500245,20390,REVISÃO,14577,FOR_ALVARA_BD_CADASTRO,2024-02-07 18:45:20,2024-12-09 17:37:14,2024-12-10 22:52:56,51882,JOÃO CARLOS SILVA,2,0.0,56,24,20,2,1,,,327225,UORG_ENTIDADE_SUB,Descrição do campo UORG_ENTIDADE_SUB,0.0,,2,Aprovado,,,,,FLX_CADASTRO_DE_CARTA_DE_SERVIÇO,2,CADASTRO DE CARTA DE SERVIÇO
504544,1500283,20390,REVISÃO,14572,FOR_ALVARA_BD_CADASTRO,2024-01-28 09:28:51,2024-11-29 08:20:45,2024-11-30 13:36:27,52157,ANA PAULA COSTA OLIVEIRA,2,0.0,40,28,11,2,2,,,327345,UORG_ENTIDADE_SUB,Descrição do campo UORG_ENTIDADE_SUB,0.0,,4,Valor_UORG_ENTIDADE_SUB_4,,,,,FLX_CADASTRO_DE_CARTA_DE_SERVIÇO,2,CADASTRO DE CARTA DE SERVIÇO
506618,1500886,20390,REVISÃO,14580,FOR_ALVARA_BD_CADASTRO,2024-10-30 16:28:57,2025-09-01 15:20:51,2025-09-02 20:36:33,51940,JOÃO CARLOS SILVA,2,0.0,18,13,11,5,3,,,327207,INFORMACOES,Descrição do campo INFORMACOES,0.0,,7,Online,,,,,FLX_CADASTRO_DE_CARTA_DE_SERVIÇO,2,CADASTRO DE CARTA DE SERVIÇO
508597,1504715,20390,REVISÃO,14576,FOR_ALVARA_BD_CADASTRO,2024-12-28 17:24:30,2025-10-30 16:16:24,2025-10-31 21:32:06,51203,JOÃO CARLOS SILVA,2,0.0,5,32,2,2,1,,,327064,INFORMACOES,Descrição do campo INFORMACOES,0.0,,4,"Público - (público em geral, incluindo cidadãos e empresas)",,,,,FLX_CADASTRO_DE_CARTA_DE_SERVIÇO,2,CADASTRO DE CARTA DE SERVIÇO
500072,1500565,20390,REVISÃO,14578,FOR_ALVARA_BD_CADASTRO,2024-06-02 15:14:12,2025-04-04 14:06:06,2025-04-05 19:21:48,52020,ANA PAULA COSTA OLIVEIRA,2,0.0,55,16,3,1,1,,,326958,INFORMACOES,Descrição do campo INFORMACOES,0.0,,5,"Público - (público em geral, incluindo cidadãos e empresas)",,,,,FLX_CADASTRO_DE_CARTA_DE_SERVIÇO,2,CADASTRO DE CARTA DE SERVIÇO
504023,1504816,20390,REVISÃO,14577,FOR_ALVARA_BD_CADASTRO,2024-07-28 09:46:57,2025-05-30 08:38:51,2025-05-31 13:54:33,52429,ANA PAULA COSTA OLIVEIRA,2,0.0,16,39,13,1,2,,,326516,INFORMACOES,Descrição do campo INFORMACOES,0.0,327414.0,9,Presencial,,,,,FLX_CADASTRO_DE_CARTA_DE_SERVIÇO,2,CADASTRO DE CARTA DE SERVIÇO
506549,1501401,20390,REVISÃO,14577,FOR_ALVARA_BD_CADASTRO,2024-04-10 17:13:45,2025-02-10 16:05:39,2025-02-11 21:21:21,52278,ANA PAULA COSTA OLIVEIRA,2,0.0,40,29,2,1,3,,,326971,INFORMACOES,Descrição do campo INFORMACOES,0.0,,1,Não,,,,,FLX_CADASTRO_DE_CARTA_DE_SERVIÇO,2,CADASTRO DE CARTA DE SERVIÇO
501369,1502562,20390,REVISÃO,14579,FOR_ALVARA_BD_CADASTRO,2024-01-16 15:13:55,2024-11-17 14:05:49,2024-11-18 19:21:31,50453,MARIA FERNANDA SANTOS PERES,2,0.0,8,28,2,1,1,,,326714,CATEGORIA,Descrição do campo CATEGORIA,0.0,,1,2024-01-15,,,,,FLX_CADASTRO_DE_CARTA_DE_SERVIÇO,2,CADASTRO DE CARTA DE SERVIÇO
502977,1501303,20390,REVISÃO,14580,FOR_ALVARA_BD_CADASTRO,2024-10-08 10:51:44,2025-08-10 09:43:38,2025-08-11 14:59:20,52829,ANA PAULA COSTA OLIVEIRA,2,0.0,42,49,10,3,3,,,327085,CATEGORIA,Descrição do campo CATEGORIA,0.0,,7,Não,,,,,FLX_CADASTRO_DE_CARTA_DE_SERVIÇO,2,CADASTRO DE CARTA DE SERVIÇO
507959,1500009,20390,REVISÃO,14576,FOR_ALVARA_BD_CADASTRO,2024-12-18 15:26:03,2025-10-20 14:17:57,2025-10-21 19:33:39,52394,ANA PAULA COSTA OLIVEIRA,2,0.0,8,45,20,4,2,,,326826,CATEGORIA,Descrição do campo CATEGORIA,0.0,327254.0,3,Aprovado,,,,,FLX_CADASTRO_DE_CARTA_DE_SERVIÇO,2,CADASTRO DE CARTA DE SERVIÇO
502824,1500467,20390,REVISÃO,14580,FOR_ALVARA_BD_CADASTRO,2024-07-26 16:43:46,2025-05-28 15:35:40,2025-05-29 20:51:22,51657,JOÃO CARLOS SILVA,2,0.0,14,7,16,2,3,,,327011,CATEGORIA,Descrição do campo CATEGORIA,0.0,,1,30 minutos,,,,,FLX_CADASTRO_DE_CARTA_DE_SERVIÇO,2,CADASTRO DE CARTA DE SERVIÇO
506455,1501350,20390,REVISÃO,14580,FOR_ALVARA_BD_CADASTRO,2024-10-25 11:53:40,2025-08-27 10:45:34,2025-08-28 16:01:16,52876,ANA PAULA COSTA OLIVEIRA,2,0.0,2,19,19,2,1,,,326511,PRIORIDADE,Descrição do campo PRIORIDADE,0.0,,9,Online,,,,,FLX_CADASTRO_DE_CARTA_DE_SERVIÇO,2,CADASTRO DE CARTA DE SERVIÇO
503113,1502921,20390,REVISÃO,14571,FOR_ALVARA_BD_CADASTRO,2024-01-17 16:10:03,2024-11-18 15:01:57,2024-11-19 20:17:39,50386,MARIA FERNANDA SANTOS PERES,2,0.0,2,44,16,3,3,,,326817,PRIORIDADE,Descrição do campo PRIORIDADE,0.0,,9,Não,,,,,FLX_CADASTRO_DE_CARTA_DE_SERVIÇO,2,CADASTRO DE CARTA DE SERVIÇO
501452,1500266,20390,REVISÃO,14576,FOR_ALVARA_BD_CADASTRO,2024-01-22 11:25:07,2024-11-23 10:17:01,2024-11-24 15:32:43,52444,ANA PAULA COSTA OLIVEIRA,2,0.0,20,14,11,1,2,,,327008,PRIORIDADE,Descrição do campo PRIORIDADE,0.0,,6,Rejeitado,,,,,FLX_CADASTRO_DE_CARTA_DE_SERVIÇO,2,CADASTRO DE CARTA DE SERVIÇO
503116,1500665,20390,REVISÃO,14575,FOR_ALVARA_BD_CADASTRO,2024-10-17 15:03:35,2025-08-19 13:55:29,2025-08-20 19:11:11,52535,ANA PAULA COSTA OLIVEIRA,2,0.0,36,29,18,2,2,,,327167,PRIORIDADE,Descrição do campo PRIORIDADE,0.0,,5,,,,,,FLX_CADASTRO_DE_CARTA_DE_SERVIÇO,2,CADASTRO DE CARTA DE SERVIÇO
505151,1501856,20390,REVISÃO,14574,FOR_ALVARA_BD_CADASTRO,2024-01-31 16:05:54,2024-12-02 14:57:48,2024-12-03 20:13:30,51182,JOÃO CARLOS SILVA,2,0.0,45,30,17,5,3,,,327363,PESSOA_FISICA,Descrição do campo PESSOA_FISICA,0.0,327984.0,7,30 minutos,,,,,FLX_CADASTRO_DE_CARTA_DE_SERVIÇO,2,CADASTRO DE CARTA DE SERVIÇO
504818,1502526,20390,REVISÃO,14573,FOR_ALVARA_BD_CADASTRO,2024-06-11 14:38:32,2025-04-13 13:30:26,2025-04-14 18:46:08,51187,JOÃO CARLOS SILVA,2,0.0,57,19,8,3,2,,,326714,PESSOA_FISICA,Descrição do campo PESSOA_FISICA,0.0,,1,Não,,,,,FLX_CADASTRO_DE_CARTA_DE_SERVIÇO,2,CADASTRO DE CARTA DE SERVIÇO
506495,1504421,20390,REVISÃO,14573,FOR_ALVARA_BD_CADASTRO,2024-06-27 11:14:01,2025-04-29 10:05:55,2025-04-30 15:21:37,50546,MARIA FERNANDA SANTOS PERES,2,0.0,43,24,0,5,1,,,326553,PESSOA_FISICA,Descrição do campo PESSOA_FISICA,0.0,327244.0,4,"Público - (público em geral, incluindo cidadãos e empresas)",,,,,FLX_CADASTRO_DE_CARTA_DE_SERVIÇO,2,CADASTRO DE CARTA DE SERVIÇO
507973,1503569,20390,REVISÃO,14572,FOR_ALVARA_BD_CADASTRO,2024-01-30 14:37:36,2024-12-01 13:29:30,2024-12-02 18:45:12,50164,MARIA FERNANDA SANTOS PERES,2,0.0,33,44,11,1,3,,,327452,PESSOA_FISICA,Descrição do campo PESSOA_FISICA,0.0,,4,Rejeitado,,,,,FLX_CADASTRO_DE_CARTA_DE_SERVIÇO,2,CADASTRO DE CARTA DE SERVIÇO
507420,1501742,20390,REVISÃO,14580,FOR_ALVARA_BD_CADASTRO,2024-07-11 15:28:28,2025-05-13 14:20:22,2025-05-14 19:36:04,52532,ANA PAULA COSTA OLIVEIRA,2,0.0,25,28,11,1,3,,,326667,PESSOA_FISICA,Descrição do campo PESSOA_FISICA,0.0,,9,Aprovado,,,,,FLX_CADASTRO_DE_CARTA_DE_SERVIÇO,2,CADASTRO DE CARTA DE SERVIÇO
503443,1500515,20390,REVISÃO,14574,FOR_ALVARA_BD_CADASTRO,2024-02-24 16:09:17,2024-12-26 15:01:11,2024-12-27 20:16:53,52091,ANA PAULA COSTA OLIVEIRA,2,0.0,11,27,18,4,3,,,327021,LOG_USUARIO,Descrição do campo LOG_USUARIO,0.0,,1,Online,,,,,FLX_CADASTRO_DE_CARTA_DE_SERVIÇO,2,CADASTRO DE CARTA DE SERVIÇO
508143,1501141,20390,REVISÃO,14576,FOR_ALVARA_BD_CADASTRO,2024-04-28 12:32:31,2025-02-28 11:24:25,2025-03-01 16:40:07,50660,MARIA FERNANDA SANTOS PERES,2,0.0,49,44,16,3,3,,,326992,SERVICO,Descrição do campo SERVICO,0.0,,5,"Público - (público em geral, incluindo cidadãos e empresas)",,,,,FLX_CADASTRO_DE_CARTA_DE_SERVIÇO,2,CADASTRO DE CARTA DE SERVIÇO
501705,1502162,20390,REVISÃO,14575,FOR_ALVARA_BD_CADASTRO,2024-12-23 12:15:17,2025-10-25 11:07:11,2025-10-26 16:22:53,51234,JOÃO CARLOS SILVA,2,0.0,51,45,4,4,1,,,327136,SERVICO,Descrição do campo SERVICO,0.0,327686.0,5,Valor_SERVICO_1,,,,,FLX_CADASTRO_DE_CARTA_DE_SERVIÇO,2,CADASTRO DE CARTA DE SERVIÇO
501106,1501502,20390,REVISÃO,14580,FOR_ALVARA_BD_CADASTRO,2024-12-29 11:31:14,2025-10-31 10:23:08,2025-11-01 15:38:50,52836,ANA PAULA COSTA OLIVEIRA,2,0.0,21,47,20,5,2,,,326849,DESCRICAO,Descrição do campo DESCRICAO,0.0,327539.0,5,Pendente,,,,,FLX_CADASTRO_DE_CARTA_DE_SERVIÇO,2,CADASTRO DE CARTA DE SERVIÇO
509312,1502212,20390,REVISÃO,14573,FOR_ALVARA_BD_CADASTRO,2024-04-05 11:55:10,2025-02-05 10:47:04,2025-02-06 16:02:46,50111,MARIA FERNANDA SANTOS PERES,2,0.0,54,16,10,5,1,,,326635,CONSUMIDOR,Descrição do campo CONSUMIDOR,0.0,,5,Aprovado,,,,,FLX_CADASTRO_DE_CARTA_DE_SERVIÇO,2,CADASTRO DE CARTA DE SERVIÇO
502674,1503738,20390,REVISÃO,14572,FOR_ALVARA_BD_CADASTRO,2024-01-06 09:38:04,2024-11-07 08:29:58,2024-11-08 13:45:40,50259,MARIA FERNANDA SANTOS PERES,2,0.0,41,23,7,2,3,,,326971,ETAPAS,Descrição do campo ETAPAS,0.0,327366.0,1,Não se aplica,,,,,FLX_CADASTRO_DE_CARTA_DE_SERVIÇO,2,CADASTRO DE CARTA DE SERVIÇO
503555,1502592,20390,REVISÃO,14571,FOR_ALVARA_BD_CADASTRO,2024-12-25 17:44:01,2025-10-27 16:35:55,2025-10-28 21:51:37,50414,MARIA FERNANDA SANTOS PERES,2,0.0,4,23,12,1,2,,,326758,ETAPAS,Descrição do campo ETAPAS,0.0,,10,Presencial,,,,,FLX_CADASTRO_DE_CARTA_DE_SERVIÇO,2,CADASTRO DE CARTA DE SERVIÇO
507222,1502408,20390,REVISÃO,14575,FOR_ALVARA_BD_CADASTRO,2024-10-29 15:39:52,2025-08-31 14:31:46,2025-09-01 19:47:28,52631,ANA PAULA COSTA OLIVEIRA,2,0.0,4,43,17,2,3,,,327452,ETAPAS,Descrição do campo ETAPAS,0.0,,2,2024-01-15,,,,,FLX_CADASTRO_DE_CARTA_DE_SERVIÇO,2,CADASTRO DE CARTA DE SERVIÇO
504973,1501137,20390,REVISÃO,14576,FOR_ALVARA_BD_CADASTRO,2024-07-22 11:32:30,2025-05-24 10:24:24,2025-05-25 15:40:06,50036,MARIA FERNANDA SANTOS PERES,2,0.0,51,14,6,3,1,,,326537,ETAPAS,Descrição do campo ETAPAS,0.0,,9,Não se aplica,,,,,FLX_CADASTRO_DE_CARTA_DE_SERVIÇO,2,CADASTRO DE CARTA DE SERVIÇO
500565,1500549,20390,REVISÃO,14574,FOR_ALVARA_BD_CADASTRO,2024-04-27 13:37:35,2025-02-27 12:29:29,2025-02-28 17:45:11,50872,MARIA FERNANDA SANTOS PERES,2,0.0,5,2,5,4,2,,,327182,ETAPAS,Descrição do campo ETAPAS,0.0,,1,,,,,,FLX_CADASTRO_DE_CARTA_DE_SERVIÇO,2,CADASTRO DE CARTA DE SERVIÇO
508416,1502677,20390,REVISÃO,14575,FOR_ALVARA_BD_CADASTRO,2024-10-08 11:09:01,2025-08-10 10:00:55,2025-08-11 15:16:37,52779,ANA PAULA COSTA OLIVEIRA,2,0.0,46,32,12,2,1,,,327429,LEGISLACAO,Descrição do campo LEGISLACAO,0.0,327807.0,8,Sim,,,,,FLX_CADASTRO_DE_CARTA_DE_SERVIÇO,2,CADASTRO DE CARTA DE SERVIÇO
501156,1503544,20390,REVISÃO,14580,FOR_ALVARA_BD_CADASTRO,2024-04-09 08:05:40,2025-02-09 06:57:34,2025-02-10 12:13:16,50861,MARIA FERNANDA SANTOS PERES,2,0.0,45,34,14,1,2,,,327132,LEGISLACAO,Descrição do campo LEGISLACAO,0.0,,8,Não se aplica,,,,,FLX_CADASTRO_DE_CARTA_DE_SERVIÇO,2,CADASTRO DE CARTA DE SERVIÇO
504266,1501179,20390,REVISÃO,14572,FOR_ALVARA_BD_CADASTRO,2024-12-01 13:19:48,2025-10-03 12:11:42,2025-10-04 17:27:24,52271,ANA PAULA COSTA OLIVEIRA,2,0.0,47,50,2,4,1,,,327444,LEGISLACAO,Descrição do campo LEGISLACAO,0.0,,9,,,,,,FLX_CADASTRO_DE_CARTA_DE_SERVIÇO,2,CADASTRO DE CARTA DE SERVIÇO
502297,1503684,20390,REVISÃO,14578,FOR_ALVARA_BD_CADASTRO,2024-02-20 17:06:04,2024-12-22 15:57:58,2024-12-23 21:13:40,52964,ANA PAULA COSTA OLIVEIRA,2,0.0,21,43,17,4,2,,,327059,LEGISLACAO,Descrição do campo LEGISLACAO,0.0,,5,Não se aplica,,,,,FLX_CADASTRO_DE_CARTA_DE_SERVIÇO,2,CADASTRO DE CARTA DE SERVIÇO
508562,1501784,20390,REVISÃO,14580,FOR_ALVARA_BD_CADASTRO,2024-04-05 14:08:02,2025-02-05 12:59:56,2025-02-06 18:15:38,52845,ANA PAULA COSTA OLIVEIRA,2,0.0,20,17,14,1,1,,,326613,LEGISLACAO,Descrição do campo LEGISLACAO,0.0,,9,Pendente,,,,,FLX_CADASTRO_DE_CARTA_DE_SERVIÇO,2,CADASTRO DE CARTA DE SERVIÇO
506222,1501576,20390,REVISÃO,14578,FOR_ALVARA_BD_CADASTRO,2024-07-26 10:42:05,2025-05-28 09:33:59,2025-05-29 14:49:41,50902,MARIA FERNANDA SANTOS PERES,2,0.0,3,49,7,5,1,,,327379,LOG_DATAHORA,Descrição do campo LOG_DATAHORA,0.0,327271.0,3,Online,,,,,FLX_CADASTRO_DE_CARTA_DE_SERVIÇO,2,CADASTRO DE CARTA DE SERVIÇO
502561,1501866,20390,REVISÃO,14579,FOR_ALVARA_BD_CADASTRO,2024-10-01 09:49:27,2025-08-03 08:41:21,2025-08-04 13:57:03,51168,JOÃO CARLOS SILVA,2,0.0,25,16,1,2,3,,,326973,LOG_DATAHORA,Descrição do campo LOG_DATAHORA,0.0,327502.0,2,Não,,,,,FLX_CADASTRO_DE_CARTA_DE_SERVIÇO,2,CADASTRO DE CARTA DE SERVIÇO
504939,1500450,20390,REVISÃO,14577,FOR_ALVARA_BD_CADASTRO,2024-01-28 16:06:03,2024-11-29 14:57:57,2024-11-30 20:13:39,51106,JOÃO CARLOS SILVA,2,0.0,33,23,6,3,3,,,326510,AREA_RESPONSAVEL,Descrição do campo AREA_RESPONSAVEL,0.0,,8,Rejeitado,,,,,FLX_CADASTRO_DE_CARTA_DE_SERVIÇO,2,CADASTRO DE CARTA DE SERVIÇO
503273,1502208,20390,REVISÃO,14579,FOR_ALVARA_BD_CADASTRO,2024-04-14 16:00:07,2025-02-14 14:52:01,2025-02-15 20:07:43,51540,JOÃO CARLOS SILVA,2,0.0,43,24,1,2,1,,,327334,LOG_SERVICO,Descrição do campo LOG_SERVICO,0.0,327585.0,2,Valor_LOG_SERVICO_0,,,,,FLX_CADASTRO_DE_CARTA_DE_SERVIÇO,2,CADASTRO DE CARTA DE SERVIÇO
501515,1500351,20390,REVISÃO,14571,FOR_ALVARA_BD_CADASTRO,2024-02-21 16:00:42,2024-12-23 14:52:36,2024-12-24 20:08:18,50650,MARIA FERNANDA SANTOS PERES,2,0.0,18,27,15,4,3,,,326528,LOG_SERVICO,Descrição do campo LOG_SERVICO,0.0,,5,2024-01-15,,,,,FLX_CADASTRO_DE_CARTA_DE_SERVIÇO,2,CADASTRO DE CARTA DE SERVIÇO
502630,1501458,20390,REVISÃO,14575,FOR_ALVARA_BD_CADASTRO,2024-06-04 12:11:37,2025-04-06 11:03:31,2025-04-07 16:19:13,52157,ANA PAULA COSTA OLIVEIRA,2,0.0,50,44,15,1,3,,,326800,LOG_SERVICO,Descrição do campo LOG_SERVICO,0.0,,1,Presencial,,,,,FLX_CADASTRO_DE_CARTA_DE_SERVIÇO,2,CADASTRO DE CARTA DE SERVIÇO
504831,1504158,20390,REVISÃO,14576,FOR_ALVARA_BD_CADASTRO,2024-02-06 15:53:34,2024-12-08 14:45:28,2024-12-09 20:01:10,51874,JOÃO CARLOS SILVA,2,0.0,3,45,17,1,3,,,326931,LOG_SERVICO,Descrição do campo LOG_SERVICO,0.0,327701.0,3,Sim,,,,,FLX_CADASTRO_DE_CARTA_DE_SERVIÇO,2,CADASTRO DE CARTA DE SERVIÇO
500322,1500168,20390,REVISÃO,14579,FOR_ALVARA_BD_CADASTRO,2024-04-04 13:49:35,2025-02-04 12:41:29,2025-02-05 17:57:11,50998,MARIA FERNANDA SANTOS PERES,2,0.0,37,33,14,4,1,,,326581,TAXA,Descrição do campo TAXA,0.0,,5,Não,,,,,FLX_CADASTRO_DE_CARTA_DE_SERVIÇO,2,CADASTRO DE CARTA DE SERVIÇO
501619,1504225,20390,REVISÃO,14577,FOR_ALVARA_BD_CADASTRO,2024-06-04 14:57:36,2025-04-06 13:49:30,2025-04-07 19:05:12,50138,MARIA FERNANDA SANTOS PERES,2,0.0,49,38,12,2,2,,,327279,TAXA,Descrição do campo TAXA,0.0,,7,30 minutos,,,,,FLX_CADASTRO_DE_CARTA_DE_SERVIÇO,2,CADASTRO DE CARTA DE SERVIÇO
507144,1502723,20390,REVISÃO,14579,FOR_ALVARA_BD_CADASTRO,2024-12-07 14:24:57,2025-10-09 13:16:51,2025-10-10 18:32:33,52010,ANA PAULA COSTA OLIVEIRA,2,0.0,25,49,18,4,3,,,327258,TAXA,Descrição do campo TAXA,0.0,,3,30 minutos,,,,,FLX_CADASTRO_DE_CARTA_DE_SERVIÇO,2,CADASTRO DE CARTA DE SERVIÇO
501855,1502825,20390,REVISÃO,14574,FOR_ALVARA_BD_CADASTRO,2024-06-12 18:32:25,2025-04-14 17:24:19,2025-04-15 22:40:01,52564,ANA PAULA COSTA OLIVEIRA,2,0.0,54,20,11,4,3,,,326849,TAXA,Descrição do campo TAXA,0.0,,3,2024-01-15,,,,,FLX_CADASTRO_DE_CARTA_DE_SERVIÇO,2,CADASTRO DE CARTA DE SERVIÇO
500622,1503488,20390,REVISÃO,14574,FOR_ALVARA_BD_CADASTRO,2024-06-09 09:49:17,2025-04-11 08:41:11,2025-04-12 13:56:53,50675,MARIA FERNANDA SANTOS PERES,2,0.0,4,46,3,3,2,,,327033,TAXA,Descrição do campo TAXA,0.0,327859.0,7,Presencial,,,,,FLX_CADASTRO_DE_CARTA_DE_SERVIÇO,2,CADASTRO DE CARTA DE SERVIÇO
500742,1500579,20390,REVISÃO,14580,FOR_ALVARA_BD_CADASTRO,2024-12-03 14:26:21,2025-10-05 13:18:15,2025-10-06 18:33:57,51964,JOÃO CARLOS SILVA,2,0.0,58,6,16,4,2,,,326772,SINONIMOS,Descrição do campo SINONIMOS,0.0,,7,Sim,,,,,FLX_CADASTRO_DE_CARTA_DE_SERVIÇO,2,CADASTRO DE CARTA DE SERVIÇO
507183,1501894,20390,REVISÃO,14576,FOR_ALVARA_BD_CADASTRO,2024-01-26 15:18:27,2024-11-27 14:10:21,2024-11-28 19:26:03,50542,MARIA FERNANDA SANTOS PERES,2,0.0,7,31,4,3,2,,,326876,RETORNO,Descrição do campo RETORNO,0.0,,6,Online,,,,,FLX_CADASTRO_DE_CARTA_DE_SERVIÇO,2,CADASTRO DE CARTA DE SERVIÇO
509220,1503822,20390,REVISÃO,14578,FOR_ALVARA_BD_CADASTRO,2024-07-14 09:42:58,2025-05-16 08:34:52,2025-05-17 13:50:34,52947,ANA PAULA COSTA OLIVEIRA,2,0.0,11,9,15,1,1,,,327480,RETORNO,Descrição do campo RETORNO,0.0,327656.0,10,2024-01-15,,,,,FLX_CADASTRO_DE_CARTA_DE_SERVIÇO,2,CADASTRO DE CARTA DE SERVIÇO
